dataset,method,group,top_features,class_coverage,reconstruction_accuracy,reconstruction_std,semantic_preservation
nyt,prompting,1,7,0.37738045617045957,0.538,0.02856571371417139,1.0
nyt,prompting,1,8,0.37738045617045957,0.548,0.04214261501141096,1.0
nyt,prompting,1,9,0.40500354623125556,0.5680000000000001,0.03655133376499411,1.0
nyt,prompting,1,10,0.4144322532062155,0.592,0.027856776554368214,1.0
nyt,prompting,1,11,0.4144322532062155,0.5940000000000001,0.02939387691339811,1.0
nyt,prompting,1,12,0.42384305875934325,0.6,0.03847076812334269,1.0
nyt,prompting,1,13,0.42384305875934325,0.6060000000000001,0.043634848458542846,1.0
nyt,prompting,1,14,0.42384305875934325,0.608,0.05418486873657626,1.0
nyt,prompting,1,15,0.42384305875934325,0.61,0.05761944116355173,1.0
nyt,prompting,1,16,0.43107048096372624,0.62,0.05019960159204452,1.0
nyt,prompting,1,17,0.43107048096372624,0.6220000000000001,0.05192301994298866,1.0
nyt,prompting,1,18,0.43107048096372624,0.628,0.05635601121442148,1.0
nyt,prompting,1,19,0.43107048096372624,0.6379999999999999,0.06241794613730892,1.0
nyt,prompting,1,20,0.43107048096372624,0.65,0.05099019513592785,1.0
nyt,prompting,1,21,0.5445375555509597,0.74,0.04732863826479694,1.0
nyt,prompting,1,22,0.5445375555509597,0.7280000000000001,0.038678159211627434,1.0
nyt,prompting,1,23,0.5445375555509597,0.736,0.03720215047547658,1.0
nyt,prompting,1,24,0.5445375555509597,0.734,0.03200000000000003,2.0
nyt,prompting,1,25,0.5445375555509597,0.736,0.03200000000000003,2.0
nyt,prompting,1,26,0.5445375555509597,0.74,0.04690415759823431,2.0
nyt,prompting,1,27,0.5445375555509597,0.74,0.04690415759823431,2.0
nyt,prompting,1,28,0.5445375555509597,0.736,0.04223742416388579,2.0
nyt,prompting,1,29,0.5445375555509597,0.736,0.04223742416388579,2.0
nyt,prompting,1,30,0.5445375555509597,0.73,0.051768716422179145,2.0
nyt,prompting,1,31,0.5445375555509597,0.724,0.045869379764718866,2.0
